"","id","status_group"
"1",50785,"functional"
"2",51630,"functional"
"3",17168,"functional"
"4",45559,"non functional"
"5",49871,"functional"
"6",52449,"functional"
"7",24806,"functional"
"8",28965,"non functional"
"9",36301,"non functional"
"10",54122,"functional"
"11",419,"functional"
"12",45750,"non functional"
"13",653,"non functional"
"14",14017,"functional"
"15",44607,"functional"
"16",40228,"functional"
"17",27714,"functional"
"18",28785,"functional"
"19",28330,"functional"
"20",18532,"non functional"
"21",69961,"functional"
"22",55083,"functional"
"23",8691,"non functional"
"24",30331,"non functional"
"25",70970,"functional"
"26",61136,"functional"
"27",28799,"non functional"
"28",46825,"non functional"
"29",44718,"functional"
"30",37350,"functional"
"31",65738,"functional"
"32",3271,"non functional"
"33",42658,"non functional"
"34",67523,"functional"
"35",37034,"functional"
"36",42432,"functional"
"37",27420,"functional"
"38",707,"functional"
"39",48489,"non functional"
"40",51008,"non functional"
"41",72562,"functional"
"42",10275,"functional"
"43",53540,"non functional"
"44",43291,"non functional"
"45",8813,"functional"
"46",62343,"non functional"
"47",1649,"functional"
"48",8822,"functional"
"49",10352,"functional"
"50",50878,"functional"
"51",15266,"functional"
"52",51956,"functional"
"53",44099,"functional"
"54",59,"non functional"
"55",51359,NA
"56",15962,"non functional"
"57",17853,"functional needs repair"
"58",42040,"non functional"
"59",72243,"functional"
"60",63653,"functional"
"61",26510,"functional"
"62",72053,"functional"
"63",29351,"functional"
"64",51897,"non functional"
"65",20376,"functional"
"66",26804,"functional"
"67",67303,"functional"
"68",69780,"non functional"
"69",45374,"functional"
"70",54665,"functional"
"71",39341,"non functional"
"72",8869,"functional needs repair"
"73",20691,"non functional"
"74",19693,"non functional"
"75",14321,"non functional"
"76",63059,"functional"
"77",67403,"functional"
"78",28912,"functional"
"79",12549,"functional"
"80",24328,"non functional"
"81",13750,"functional"
"82",1574,"functional"
"83",44149,"non functional"
"84",53917,"functional"
"85",22705,"functional"
"86",66465,"functional"
"87",15644,"functional"
"88",20773,"non functional"
"89",33092,"non functional"
"90",54392,"functional"
"91",37850,"functional"
"92",5576,"non functional"
"93",60840,"functional"
"94",9971,"non functional"
"95",57508,"functional"
"96",25872,"functional"
"97",43978,"functional"
"98",38181,"functional"
"99",24325,"non functional"
"100",2724,"non functional"
"101",34794,"non functional"
"102",56525,"non functional"
"103",63155,"non functional"
"104",67247,"functional"
"105",23387,"functional"
"106",17873,NA
"107",18197,"non functional"
"108",24834,"functional"
"109",4091,"functional"
"110",33261,NA
"111",44384,"functional"
"112",62096,"non functional"
"113",64554,"functional"
"114",68314,"functional"
"115",53,"functional"
"116",23426,"functional"
"117",38259,"non functional"
